Date,Vendor,Pro,Site,BSC,Cell,TRX,SDCCH,TCH,Trafic offer,SD Attempt,SD Cong,SCR,SD Suc,SD Drop,SDR,TCH Attempt,TCH Succ,TCH Cong,TCR,TASR,CSSR,Call Suc,Call Drop,CDR,HO Attempt,HO Suc,HOSR,HI Attempt,HI Suc,HISR,Erlang peak,Erlang HR,TU (non HR),% Traffic HR
10/3/2014 5:00:00 PM,Nokia,MAC,MAC001,BCMP01,MAC0011,2,23,9.93,5.08,107,0,0,107,0,0,31,31,0,0,100,100,31,0,0,7,7,100,8,7,87.5,0.52,0,10.16,0
10/3/2014 7:00:00 PM,Nokia,MAC,MAC001,BCMP01,MAC0012,2,23,9.5,5.08,192,0,0,192,1,0.52,49,49,0,0,100,99.48,49,0,0,37,37,100,25,25,100,0.84,0.1111111,16.61,13.16
10/3/2014 6:00:00 PM,Nokia,MAC,MAC001,BCMP01,MAC0013,2,23,9.16,4.34,975,0,0,975,4,0.41,274,273,0,0,99.64,99.23,273,2,0.72,72,70,97.22,78,76,97.44,2.89,0.7777778,66.49,26.92
10/3/2014 3:00:00 PM,Nokia,MAC,MAC003,BCMP01,MAC0031,2,31,7.3,2.93,776,0,0,776,0,0,191,190,0,0,99.48,99.48,190,0,0,174,170,97.7,159,159,100,2.67,2.527778,90.86,94.79
10/3/2014 6:00:00 AM,Nokia,MAC,MAC003,BCMP01,MAC0032,2,31,8.81,4.34,77,0,0,77,0,0,6,6,0,0,100,100,6,0,0,69,69,100,71,71,100,0.62,0.3555556,14.32,57.14
10/3/2014 3:00:00 PM,Nokia,MAC,MAC003,BCMP01,MAC0033,1,31,6,2.28,587,0,0,587,1,0.17,84,84,0,0,100,99.83,84,0,0,90,86,95.56,85,82,96.47,2.16,1.716667,94.71,79.64
10/3/2014 5:00:00 PM,Nokia,MAC,MAC004,BCMP01,MAC0041,2,31,7.49,2.93,1043,0,0,1043,4,0.38,179,179,0,0,100,99.62,179,1,0.74,245,242,98.78,198,198,100,2.37,2.116667,80.83,89.23
10/3/2014 5:00:00 PM,Nokia,MAC,MAC004,BCMP01,MAC0042,2,31,7.67,3.63,362,0,0,362,0,0,7,7,0,0,100,100,7,0,0,9,9,100,12,12,100,0.38,0.02777778,10.57,7.25
10/3/2014 5:00:00 PM,Nokia,MAC,MAC004,BCMP01,MAC0043,1,31,6.77,2.93,665,0,0,665,3,0.45,140,140,0,0,100,99.55,140,0,0,213,213,100,194,191,98.45,1.78,0.4222222,60.57,23.75
10/3/2014 11:00:00 AM,Nokia,MAC,MAC005,BCMP01,MAC0051,1,23,6.78,2.93,1220,0,0,1220,4,0.33,277,277,0,0,100,99.67,277,4,1.49,210,202,96.19,195,194,99.49,3.32,3.127778,113,94.3
10/3/2014 11:00:00 AM,Nokia,MAC,MAC005,BCMP01,MAC0052,1,23,7.51,3.63,334,0,0,334,0,0,78,78,0,0,100,100,78,0,0,34,33,97.06,28,28,100,1.36,0.3277778,37.53,24.08
10/3/2014 3:00:00 PM,Nokia,MAC,MAC005,BCMP01,MAC0053,1,23,6.67,2.93,469,0,0,469,0,0,82,82,0,0,100,100,82,0,0,154,152,98.7,157,154,98.09,1.56,0.5833333,53,37.5
10/3/2014 10:00:00 AM,Nokia,MAC,MAC006,BCMP01,MAC0061,2,31,7.89,3.63,259,0,0,259,0,0,71,71,0,0,100,100,71,0,0,47,46,97.87,48,48,100,1.38,0.1,38.14,7.23
10/3/2014 12:00:00 PM,Nokia,MAC,MAC006,BCMP01,MAC0062,2,31,7.87,3.63,170,0,0,170,0,0,24,24,0,0,100,100,24,0,0,9,9,100,11,11,100,0.33,0.01111111,9.04,3.39
10/3/2014 10:00:00 AM,Nokia,MAC,MAC006,BCMP01,MAC0063,1,31,6.29,2.28,544,0,0,544,0,0,87,87,0,0,100,100,87,1,1.06,109,106,97.25,119,113,94.96,1.6,0.3833333,70.3,23.96
